event_id,module_code,event_type,semester,wholeclass,duration_minutes,event_size,timeslot,baseline_day,baseline_start,baseline_start_min,room,capacity,room_type,specialist_room_type,n_students,n_programmes,capacity_used,S0_candidates,n_S0,S1_candidates,S2_candidates,is_teaching_day,is_duration_ok,is_schedulable_S0,_semester_norm,day,start_min,end_min,time_distance,room_id,capacity_gap,opt_id,slot_start,slot_end,teaching_type,school,baseline_slot_start,duration_slots,is_early,is_late,is_lunch_overlap,is_tutorial_morning,is_wholeclass_late,is_subgroup_like,is_whole_class,is_wed_pm_wholeclass,room_waste,student_id,programme,student_department,start_time,end_time,day_name
E:5979VVBY5D,GREE08009_SV1_SEM1_2024/5,Lecture,Semester 1,True,50,30.0,Monday 11:00,Monday,,660,0300_00_NG.01,36.0,Classroom Style,General Teaching,11.0,4.0,36.0,"[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780]",25,"[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780]","[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780]",True,True,True,1,1,540,600,0,0300_00_NG.01,25.0,OPT_5075,9,10,Whole-Class,"School of History, Classics and Archaeology",,1,1,0,0,0,0,0,1,0,25.0,Student00004,English Literature and Classics (MA Hons) (Year 2),"School of Literatures, Languages and Cultures",09:00,10:00,Mon
E:1JEG1ZG6QS,ENLI08024_SV1_SEM1_2024/5,Lecture,Semester 1,True,50,350.0,Monday 12:00,Monday,,720,0229_01_1.A,350.0,Lecture Theatre,General Teaching,243.0,29.0,350.0,"[600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840]",25,"[600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840]","[600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840]",True,True,True,1,1,600,660,0,0229_01_1.A,107.0,OPT_688,10,11,Whole-Class,"School of Literatures, Languages and Cultures",,1,0,0,0,0,0,0,1,0,107.0,Student00004,English Literature and Classics (MA Hons) (Year 2),"School of Literatures, Languages and Cultures",10:00,11:00,Mon
E:79BKUR4VCP,"PGHC11267_SV1_SEM1_2024/5, LATI08013_SS1_SEM1_2024/5, LATI08009_SV1_SEM1_2024/5, LATI10030_SS1_SEM1_2024/5",Lecture,Semester 1,True,50,60.0,Monday 13:00,Monday,,780,0227_00_G.05,44.0,Classroom Style,General Teaching,25.0,15.0,44.0,"[660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900]",25,"[660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900]","[660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900]",True,True,True,1,1,660,720,0,0227_00_G.05,19.0,OPT_7848,11,12,Whole-Class,"School of History, Classics and Archaeology",,1,0,0,0,0,0,0,1,0,19.0,Student00004,English Literature and Classics (MA Hons) (Year 2),"School of Literatures, Languages and Cultures",11:00,12:00,Mon
E:3KRS24X6UJ,"LATI08009_SV1_SEM1_2024/5, LATI10030_SS1_SEM1_2024/5, PGHC11267_SV1_SEM1_2024/5, LATI08013_SS1_SEM1_2024/5",Tutorial,Semester 1,False,50,15.0,Monday 15:00,Monday,,900,0113_00_G.09,15.0,Boardroom Style,General Teaching,8.0,7.0,15.0,"[780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900, 910, 920, 930, 940, 950, 960, 970, 980, 990, 1000, 1010, 1020]",25,"[780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900, 910, 920, 930, 940, 950, 960, 970]","[780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900, 910, 920, 930, 940, 950, 960, 970, 980, 990, 1000, 1010, 1020]",True,True,True,1,1,780,840,0,0113_00_G.09,7.0,OPT_3183,13,14,Tutorial,"School of History, Classics and Archaeology",,1,0,0,1,0,0,1,0,0,7.0,Student00004,English Literature and Classics (MA Hons) (Year 2),"School of Literatures, Languages and Cultures",13:00,14:00,Mon
E:PJEHQV5YIJ,GREE08009_SV1_SEM1_2024/5,Lecture,Semester 1,True,50,30.0,Tuesday 11:00,Tuesday,,660,0228_-1_LG.10,36.0,Classroom Style,General Teaching,11.0,4.0,36.0,"[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780]",25,"[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780]","[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780]",True,True,True,1,2,540,600,0,0228_-1_LG.10,25.0,OPT_31515,9,10,Whole-Class,"School of History, Classics and Archaeology",,1,1,0,0,0,0,0,1,0,25.0,Student00004,English Literature and Classics (MA Hons) (Year 2),"School of Literatures, Languages and Cultures",09:00,10:00,Tue
E:QCQ2OFO7HC,ENLI08024_SV1_SEM1_2024/5,Tutorial,Semester 1,False,50,15.0,Tuesday 12:00,Tuesday,,720,0227_03_3.29,15.0,Boardroom Style,General Teaching,10.0,7.0,15.0,"[600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840]",25,"[600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840]","[600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840]",True,True,True,1,2,600,660,0,0227_03_3.29,5.0,OPT_32515,10,11,Tutorial,"School of Literatures, Languages and Cultures",,1,0,0,0,1,0,1,0,0,5.0,Student00004,English Literature and Classics (MA Hons) (Year 2),"School of Literatures, Languages and Cultures",10:00,11:00,Tue
E:YK2NHA5169,"PGHC11267_SV1_SEM1_2024/5, LATI08013_SS1_SEM1_2024/5, LATI08009_SV1_SEM1_2024/5, LATI10030_SS1_SEM1_2024/5",Lecture,Semester 1,True,50,60.0,Tuesday 13:00,Tuesday,,780,0311_02_2.13,80.0,Lecture Theatre,General Teaching,25.0,15.0,80.0,"[660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900]",25,"[660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900]","[660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900]",True,True,True,1,2,660,720,0,0311_02_2.13,55.0,OPT_43035,11,12,Whole-Class,"School of History, Classics and Archaeology",,1,0,0,0,0,0,0,1,0,55.0,Student00004,English Literature and Classics (MA Hons) (Year 2),"School of Literatures, Languages and Cultures",11:00,12:00,Tue
E:9G8VFNELN7,GREE08009_SV1_SEM1_2024/5,Lecture,Semester 1,True,50,30.0,Wednesday 11:00,Wednesday,,660,0313_00_G.10,36.0,Classroom Style,General Teaching,11.0,4.0,36.0,"[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780]",25,"[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780]","[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780]",True,True,True,1,3,540,600,0,0313_00_G.10,25.0,OPT_10744,9,10,Whole-Class,"School of History, Classics and Archaeology",,1,1,0,0,0,0,0,1,0,25.0,Student00004,English Literature and Classics (MA Hons) (Year 2),"School of Literatures, Languages and Cultures",09:00,10:00,Wed
E:4FBYDEKSYE,GREE08009_SV1_SEM1_2024/5,Lecture,Semester 1,True,50,30.0,Thursday 11:00,Thursday,,660,0300_00_NG.01,36.0,Classroom Style,General Teaching,11.0,4.0,36.0,"[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780]",25,"[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780]","[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780]",True,True,True,1,4,540,600,0,0300_00_NG.01,25.0,OPT_4262,9,10,Whole-Class,"School of History, Classics and Archaeology",,1,1,0,0,0,0,0,1,0,25.0,Student00004,English Literature and Classics (MA Hons) (Year 2),"School of Literatures, Languages and Cultures",09:00,10:00,Thu
E:TH7D59EK4F,"PGHC11267_SV1_SEM1_2024/5, LATI08013_SS1_SEM1_2024/5, LATI08009_SV1_SEM1_2024/5, LATI10030_SS1_SEM1_2024/5",Lecture,Semester 1,True,50,60.0,Thursday 13:00,Thursday,,780,0208_00_G.8,64.0,Lecture Theatre,General Teaching,25.0,15.0,64.0,"[660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900]",25,"[660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900]","[660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900]",True,True,True,1,4,660,720,0,0208_00_G.8,39.0,OPT_36483,11,12,Whole-Class,"School of History, Classics and Archaeology",,1,0,0,0,0,0,0,1,0,39.0,Student00004,English Literature and Classics (MA Hons) (Year 2),"School of Literatures, Languages and Cultures",11:00,12:00,Thu
E:LSVGZUKMIZ,GREE08009_SV1_SEM1_2024/5,Tutorial,Semester 1,False,50,15.0,Friday 09:00,Friday,,540,0113_00_G.09,15.0,Boardroom Style,General Teaching,6.0,4.0,15.0,"[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660]",13,"[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660]","[540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660]",True,True,True,1,5,540,600,0,0113_00_G.09,9.0,OPT_26697,9,10,Tutorial,"School of History, Classics and Archaeology",,1,1,0,0,1,0,1,0,0,9.0,Student00004,English Literature and Classics (MA Hons) (Year 2),"School of Literatures, Languages and Cultures",09:00,10:00,Fri
E:ZD3S52I9OP,"PGHC11267_SV1_SEM1_2024/5, LATI08013_SS1_SEM1_2024/5, LATI08009_SV1_SEM1_2024/5, LATI10030_SS1_SEM1_2024/5",Lecture,Semester 1,True,50,60.0,Friday 13:00,Friday,,780,0001_00_G.159,108.0,Classroom Style,General Teaching,25.0,15.0,108.0,"[660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900]",25,"[660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900]","[660, 670, 680, 690, 700, 710]",True,True,True,1,5,660,720,0,0001_00_G.159,83.0,OPT_43990,11,12,Whole-Class,"School of History, Classics and Archaeology",,1,0,0,0,0,0,0,1,0,83.0,Student00004,English Literature and Classics (MA Hons) (Year 2),"School of Literatures, Languages and Cultures",11:00,12:00,Fri
